2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015
0.0008554688 0.0008023166 0.0012382239 0.001313793 0.0011073077 0.0010111969 0.0009119691 0.002182625 0.001963320 0.001751737 0.001875385 0.0011540856 0.0010104651 0.0006104651 0.00131875
0.0010086614 0.0009857143 0.0013772201 0.001464751 0.0013973077 0.0011868726 0.0010092664 0.002526538 0.002704633 0.002287259 0.002182946 0.0013123506 0.0010968627 0.0007945525 0.00178125
0.0012023622 0.0010722008 0.0014621622 0.001683525 0.0015923077 0.0012891892 0.0011297297 0.002764231 0.002931660 0.002650965 0.002667829 0.0014848606 0.0012976471 0.0009295720 0.00159375
0.0010578740 0.0009868726 0.0012710425 0.001565900 0.0015673077 0.0011872587 0.0010509653 0.002508077 0.002449421 0.002232819 0.002298837 0.0014772908 0.0011517647 0.0008252918 0.00107500
0.0008614173 0.0008818533 0.0011652510 0.001247510 0.0012669231 0.0008247104 0.0008216216 0.002109615 0.002240927 0.001841313 0.001889147 0.0012673307 0.0010623529 0.0007093385 0.00103125
0.0007870079 0.0007270270 0.0009733591 0.001123372 0.0010496154 0.0008791506 0.0008100386 0.002194231 0.002006950 0.001550193 0.001668217 0.0011215139 0.0009376471 0.0006357977 0.00107500
0.0009212598 0.0008227799 0.0010845560 0.001331034 0.0011546154 0.0009057915 0.0009123552 0.002414615 0.002072973 0.001769884 0.001689147 0.0010976096 0.0009219608 0.0006307393 0.00124375
0.0013566929 0.0010258687 0.0014258687 0.001698467 0.0014530769 0.0011351351 0.0012305019 0.003122308 0.002694208 0.002245174 0.002269380 0.0014527778 0.0012705882 0.0008260700 0.00155625
0.0023468504 0.0018085271 0.0023189189 0.002519923 0.0023084615 0.0019127413 0.0019745174 0.004138846 0.003896139 0.003244402 0.003431128 0.0022325397 0.0018360784 0.0015762646 0.00217500
0.0025984252 0.0019297297 0.0025872587 0.002622605 0.0022757692 0.0020945946 0.0022633205 0.004346538 0.003826641 0.003717375 0.004097665 0.0028250000 0.0024423529 0.0018980545 0.00348750
0.0021478261 0.0016189922 0.0022942085 0.002292337 0.0021950000 0.0019243243 0.0017463320 0.003965385 0.003368726 0.003511969 0.003564202 0.0027222222 0.0022356863 0.0017715953 0.00419375
0.0018928854 0.0015856589 0.0019938224 0.002242912 0.0019773077 0.0016521236 0.0016301158 0.003753077 0.003222780 0.003303861 0.003754864 0.0024142857 0.0021011765 0.0015852140 0.00304375
0.0019094862 0.0014289575 0.0019173745 0.002085824 0.0018215385 0.0015092664 0.0015926641 0.003305769 0.003145174 0.002828571 0.003178599 0.0022067460 0.0018203922 0.0014167315 0.00281250
0.0019221344 0.0015722008 0.0021193050 0.002286207 0.0018361538 0.0015042471 0.0017108108 0.003646154 0.003661390 0.002813514 0.003187160 0.0024043651 0.0019607843 0.0015867704 0.00293750
0.0025598425 0.0020401544 0.0030220077 0.003908812 0.0031676923 0.0031138996 0.0025544402 0.005047308 0.004624324 0.003942085 0.004522568 0.0031634921 0.0031886275 0.0025844358 0.00441875
0.0024795276 0.0021123552 0.0029027027 0.003055556 0.0028834615 0.0025586873 0.0020706564 0.004833462 0.004691120 0.003920849 0.004487160 0.0029892857 0.0027360784 0.0020887160 0.00444375
0.0029299213 0.0026528958 0.0037247104 0.003621839 0.0031903846 0.0030644788 0.0023351351 0.005038846 0.004620463 0.004274131 0.004617121 0.0032182540 0.0030094118 0.0022120623 0.00412500
0.0025015748 0.0021239382 0.0028285714 0.002880843 0.0025696154 0.0021857143 0.0018691120 0.004370000 0.004154826 0.003785328 0.003833852 0.0023845238 0.0022803922 0.0016996109 0.00286875
0.0019976378 0.0018416988 0.0024996124 0.002355172 0.0020669231 0.0017270270 0.0013675676 0.003378077 0.003566409 0.002747104 0.003069261 0.0018551587 0.0017164706 0.0013548638 0.00225625
0.0016820717 0.0014833977 0.0019038911 0.001869732 0.0016757692 0.0013891892 0.0012193050 0.003223846 0.003340927 0.002505405 0.002685659 0.0016095238 0.0016392157 0.0011778210 0.00192500
0.0016274900 0.0013942085 0.0018357977 0.001966284 0.0017603846 0.0017069498 0.0012782946 0.003309653 0.003285603 0.002457915 0.002717054 0.0015650794 0.0016647059 0.0011568093 0.00202500
0.0012498008 0.0010301158 0.0013984436 0.001324521 0.0011723077 0.0009945946 0.0009759690 0.002808108 0.002451751 0.001923938 0.002292636 0.0014416667 0.0012556863 0.0008793774 0.00166250
0.0010580189 0.0008865385 0.0012391304 0.001040167 0.0007919231 0.0007405405 0.0006779070 0.001850193 0.001576265 0.001247104 0.001270930 0.0008422311 0.0008615721 0.0006614634 0.00145000
0.0010512315 0.0008429952 0.0012387255 0.001223077 0.0010990385 0.0009658654 0.0008793269 0.002202899 0.001790338 0.001391304 0.001409179 0.0009267327 0.0008784314 0.0005619512 0.00112500
